B20,PT67B,bidirectional,Bank 1,
B19,PT65B,bidirectional,Bank 1,
A19,PT67A,bidirectional,Bank 1,
A18,PT65A,bidirectional,Bank 1,
B18,PT62B,bidirectional,Bank 1,
C17,PT60B,bidirectional,Bank 1,
A17,PT62A,bidirectional,Bank 1,
B17,PT60A,bidirectional,Bank 1,
D16,PT58B,bidirectional,Bank 1,
B16,PT56B,bidirectional,Bank 1,
C16,PT58A,bidirectional,Bank 1,
A16,PT56A,bidirectional,Bank 1,
E15,PT53B,bidirectional,Bank 1,
C15,PT51B,bidirectional,Bank 1,
D15,PT53A,bidirectional,Bank 1,
B15,PT51A,bidirectional,Bank 1,
E14,PT49B,bidirectional,Bank 1,
C14,PT47B,bidirectional,Bank 1,
D14,PT49A,bidirectional,Bank 1,
A14,PT47A,bidirectional,Bank 1,
E13,PT44B,bidirectional,Bank 1,
C13,PT42B,bidirectional,Bank 1,
D13,PT44A,bidirectional,Bank 1,
B13,PT42A,bidirectional,Bank 1,
A13,PT40B,bidirectional,Bank 1,
E12,PT38B,bidirectional,Bank 1,GR_PCLK1_1
A12,PT40A,bidirectional,Bank 1,
D12,PT38A,bidirectional,Bank 1,GR_PCLK1_0
C12,PT35B,bidirectional,Bank 1,PCLKC1_0
E11,PT33B,bidirectional,Bank 1,PCLKC1_1
B12,PT35A,bidirectional,Bank 1,PCLKT1_0
D11,PT33A,bidirectional,Bank 1,PCLKT1_1
C11,PT29B,bidirectional,Bank 0,PCLKC0_0
A11,PT27B,bidirectional,Bank 0,PCLKC0_1
B11,PT29A,bidirectional,Bank 0,PCLKT0_0
A10,PT27A,bidirectional,Bank 0,PCLKT0_1
B10,PT24B,bidirectional,Bank 0,GR_PCLK0_0
C10,PT22B,bidirectional,Bank 0,
A9,PT24A,bidirectional,Bank 0,GR_PCLK0_1
B9,PT22A,bidirectional,Bank 0,
E9,PT20B,bidirectional,Bank 0,
A8,PT18B,bidirectional,Bank 0,
D9,PT20A,bidirectional,Bank 0,
A7,PT18A,bidirectional,Bank 0,
B8,PT15B,bidirectional,Bank 0,
D8,PT13B,bidirectional,Bank 0,
C8,PT15A,bidirectional,Bank 0,
E8,PT13A,bidirectional,Bank 0,
C7,PT11B,bidirectional,Bank 0,
D7,PT9B,bidirectional,Bank 0,
C6,PT11A,bidirectional,Bank 0,
E7,PT9A,bidirectional,Bank 0,
D6,PT6B,bidirectional,Bank 0,
B6,PT4B,bidirectional,Bank 0,
E6,PT6A,bidirectional,Bank 0,
A6,PT4A,bidirectional,Bank 0,
C19,GND,power_input,Power,
H19,GND,power_input,Power,
