LCSC Part;MFR.Part;First Category;Second Category;Package;Solder Joint;Manufacturer;Library Type
C25123;510Ω (5100) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25794;51KΩ (5102) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25125;51Ω (51R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25917;6.8KΩ (6801) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25130;680Ω (6800) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C36871;68KΩ (6802) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25918;7.5KΩ (7501) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25798;75KΩ (7502) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25133;75Ω (75R0) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C25924;8.2KΩ (8201) ±1%;Resistors;Chip Resistor - Surface Mount;0402;2;Uniroyal Elec;base
C4172;1.5MΩ (1504) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4184;20KΩ (2002) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4216;33KΩ (3302) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4275;75Ω (75R0) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C7250;10MΩ (1005) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C8218;200Ω (2000) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C4260;6.2KΩ (6201) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C12447;40.2KΩ (4022) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C13320;5.1MΩ (5104) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C21190;1KΩ (1001) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22765;1.2KΩ (1201) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22766;1.2MΩ (1204) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22775;100Ω (1000) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22787;120Ω (1200) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22790;12KΩ (1202) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
C22797;13KΩ (1302) ±1%;Resistors;Chip Resistor - Surface Mount;0603;2;Uniroyal Elec;base
