# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
C14,PT47B,1,-,Comp_OF_PT47A,-,-,,C14,PT56B,1,-,Comp_OF_PT56A,-,-,,C14,PT83B,1,-,Comp_OF_PT83A,-,-
C15,PT51B,1,-,Comp_OF_PT51A,-,-,,C15,PT69B,1,-,Comp_OF_PT69A,-,-,,C15,PT105B,1,-,Comp_OF_PT105A,-,-
C16,PT58A,1,-,True_OF_PT58B,-,-,,C16,PT76A,1,-,True_OF_PT76B,-,-,,C16,PT112A,1,-,True_OF_PT112B,-,-
C17,PT60B,1,-,Comp_OF_PT60A,-,-,,C17,PT78B,1,-,Comp_OF_PT78A,-,-,,C17,PT114B,1,-,Comp_OF_PT114A,-,-
C18,PR2A,2,-,True_OF_PR2B,TRUE,RDQ8,,C18,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17,,C18,PR11A,2,URC_GPLL0T_IN,True_OF_PR11B,TRUE,RDQ17
C19,GND,-,-,-,-,-,,C19,GND,-,-,-,-,-,,C19,GND,-,-,-,-,-
C20,PR14A,2,-,True_OF_PR14B,TRUE,RDQ20,,C20,PR23A,2,-,True_OF_PR23B,TRUE,RDQ29,,C20,PR35A,2,-,True_OF_PR35B,TRUE,RDQ41
D1,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQ20,,D1,PL26B,7,-,Comp_OF_PL26A,TRUE,LDQ29,,D1,PL38B,7,-,Comp_OF_PL38A,TRUE,LDQ41
D2,PL17C,7,-,True_OF_PL17D,-,LDQ20,,D2,PL26C,7,-,True_OF_PL26D,-,LDQ29,,D2,PL38C,7,-,True_OF_PL38D,-,LDQ41
D3,PL8D,7,-,Comp_OF_PL8C,-,LDQ8,,D3,PL17D,7,-,Comp_OF_PL17C,-,LDQ17,,D3,PL17D,7,-,Comp_OF_PL17C,-,LDQ17
D4,GND,-,-,-,-,-,,D4,GND,-,-,-,-,-,,D4,GND,-,-,-,-,-
D5,PL8B,7,-,Comp_OF_PL8A,TRUE,LDQSN8,,D5,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17,,D5,PL17B,7,-,Comp_OF_PL17A,TRUE,LDQSN17
D6,PT6B,0,-,Comp_OF_PT6A,-,-,,D6,PT6B,0,-,Comp_OF_PT6A,-,-,,D6,PT6B,0,-,Comp_OF_PT6A,-,-
D7,PT9B,0,-,Comp_OF_PT9A,-,-,,D7,PT9B,0,-,Comp_OF_PT9A,-,-,,D7,PT9B,0,-,Comp_OF_PT9A,-,-
D8,PT13B,0,-,Comp_OF_PT13A,-,-,,D8,PT13B,0,-,Comp_OF_PT13A,-,-,,D8,PT13B,0,-,Comp_OF_PT13A,-,-
D9,PT20A,0,-,True_OF_PT20B,-,-,,D9,PT20A,0,-,True_OF_PT20B,-,-,,D9,PT20A,0,-,True_OF_PT20B,-,-
D10,NC,-,-,-,-,-,,D10,PT29A,0,-,True_OF_PT29B,-,-,,D10,PT56A,0,-,True_OF_PT56B,-,-
D11,PT33A,1,PCLKT1_1,True_OF_PT33B,-,-,,D11,PT42A,1,PCLKT1_1,True_OF_PT42B,-,-,,D11,PT69A,1,PCLKT1_1,True_OF_PT69B,-,-
D12,PT38A,1,GR_PCLK1_0,True_OF_PT38B,-,-,,D12,PT47A,1,GR_PCLK1_0,True_OF_PT47B,-,-,,D12,PT74A,1,GR_PCLK1_0,True_OF_PT74B,-,-
D13,PT44A,1,-,True_OF_PT44B,-,-,,D13,PT53A,1,-,True_OF_PT53B,-,-,,D13,PT80A,1,-,True_OF_PT80B,-,-
D14,PT49A,1,-,True_OF_PT49B,-,-,,D14,PT58A,1,-,True_OF_PT58B,-,-,,D14,PT85A,1,-,True_OF_PT85B,-,-
