# ECP5-5G caBGA381 Pin Migration,,,,,,,,,,,,,,,,,,,,,,
# Revision 0.0,,,,,,,,,,,,,,,,,,,,,,
"# Revised Feb. 23, 2016",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
LFE5UM5G-25,,,,,,,,LFE5UM5G-45,,,,,,,,LFE5UM5G-85,,,,,,
Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS,,Pin Number,Pin Function,Bank,Dual Function,Differential,True LVDS,DQS
U8,GND,-,GND,-,-,-,,U8,GND,-,GND,-,-,-,,U8,GND,-,GND,-,-,-
U9,GND,-,GND,-,-,-,,U9,GND,-,GND,-,-,-,,U9,GND,-,GND,-,-,-
U10,GND,-,GND,-,-,-,,U10,GND,-,GND,-,-,-,,U10,GND,-,GND,-,-,-
U11,GND,-,GND,-,-,-,,U11,GND,-,GND,-,-,-,,U11,GND,-,GND,-,-,-
U12,GND,-,GND,-,-,-,,U12,GND,-,GND,-,-,-,,U12,GND,-,GND,-,-,-
U13,GND,-,GND,-,-,-,,U13,GND,-,GND,-,-,-,,U13,GND,-,GND,-,-,-
U14,GND,-,GND,-,-,-,,U14,GND,-,GND,-,-,-,,U14,GND,-,GND,-,-,-
U15,NC,-,-,-,-,-,,U15,VCCA1,-,-,-,-,-,,U15,VCCA1,-,-,-,-,-
U16,PR47C,3,LRC_GPLL0T_IN,True_OF_PR47D,-,RDQ44,,U16,PR68C,3,LRC_GPLL0T_IN,True_OF_PR68D,-,RDQ65,,U16,PR92C,3,LRC_GPLL0T_IN,True_OF_PR92D,-,RDQ89
U17,PR47B,3,-,Comp_OF_PR47A,TRUE,RDQ44,,U17,PR68B,3,-,Comp_OF_PR68A,TRUE,RDQ65,,U17,PR92B,3,-,Comp_OF_PR92A,TRUE,RDQ89
U18,PR47A,3,-,True_OF_PR47B,TRUE,RDQ44,,U18,PR68A,3,-,True_OF_PR68B,TRUE,RDQ65,,U18,PR92A,3,-,True_OF_PR92B,TRUE,RDQ89
U19,PR44C,3,-,True_OF_PR44D,-,RDQ44,,U19,PR65C,3,-,True_OF_PR65D,-,RDQ65,,U19,PR89C,3,-,True_OF_PR89D,-,RDQ89
U20,PR41D,3,-,Comp_OF_PR41C,-,RDQ44,,U20,PR62D,3,-,Comp_OF_PR62C,-,RDQ65,,U20,PR86D,3,-,Comp_OF_PR86C,-,RDQ89
V1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,V1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-,,V1,PB6B,8,D4/MOSI2/IO4,Comp_OF_PB6A,-,-
V2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,V2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-,,V2,PB11A,8,D1/MISO/IO1,True_OF_PB11B,-,-
V3,INITN,8,-,-,-,-,,V3,INITN,8,-,-,-,-,,V3,INITN,8,-,-,-,-
V4,TDO,40,-,-,-,-,,V4,TDO,40,-,-,-,-,,V4,TDO,40,-,-,-,-
V5,GND,-,GND,-,-,-,,V5,GND,-,GND,-,-,-,,V5,GND,-,GND,-,-,-
V6,GND,-,GND,-,-,-,,V6,GND,-,GND,-,-,-,,V6,GND,-,GND,-,-,-
V7,GND,-,GND,-,-,-,,V7,GND,-,GND,-,-,-,,V7,GND,-,GND,-,-,-
V8,GND,-,GND,-,-,-,,V8,GND,-,GND,-,-,-,,V8,GND,-,GND,-,-,-
V9,GND,-,GND,-,-,-,,V9,GND,-,GND,-,-,-,,V9,GND,-,GND,-,-,-
V10,VCCAUXA0,-,-,-,-,-,,V10,VCCAUXA0,-,-,-,-,-,,V10,VCCAUXA0,-,-,-,-,-
V11,VCCAUXA0,-,-,-,-,-,,V11,VCCAUXA0,-,-,-,-,-,,V11,VCCAUXA0,-,-,-,-,-
V12,GND,-,GND,-,-,-,,V12,GND,-,GND,-,-,-,,V12,GND,-,GND,-,-,-
V13,GND,-,GND,-,-,-,,V13,GND,-,GND,-,-,-,,V13,GND,-,GND,-,-,-
V14,GND,-,GND,-,-,-,,V14,GND,-,GND,-,-,-,,V14,GND,-,GND,-,-,-
V15,GND,-,GND,-,-,-,,V15,GND,-,GND,-,-,-,,V15,GND,-,GND,-,-,-
V16,GND,-,GND,-,-,-,,V16,GND,-,GND,-,-,-,,V16,GND,-,GND,-,-,-
V17,NC,-,-,-,-,-,,V17,VCCAUXA1,-,-,-,-,-,,V17,VCCAUXA1,-,-,-,-,-
V18,NC,-,-,-,-,-,,V18,VCCAUXA1,-,-,-,-,-,,V18,VCCAUXA1,-,-,-,-,-
V19,GND,-,GND,-,-,-,,V19,GND,-,GND,-,-,-,,V19,GND,-,GND,-,-,-
V20,GND,-,GND,-,-,-,,V20,GND,-,GND,-,-,-,,V20,GND,-,GND,-,-,-
W1,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,W1,PB9A,8,D3/IO3,True_OF_PB9B,-,-,,W1,PB9A,8,D3/IO3,True_OF_PB9B,-,-
W2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,W2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-,,W2,PB11B,8,D0/MOSI/IO0,Comp_OF_PB11A,-,-
W3,PROGRAMN,8,-,-,-,-,,W3,PROGRAMN,8,-,-,-,-,,W3,PROGRAMN,8,-,-,-,-
W4,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-,,W4,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-,,W4,HDTXP0_D0CH0,50,-,True_OF_HDTXN0_D0CH0,-,-
W5,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,,W5,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-,,W5,HDTXN0_D0CH0,50,-,Comp_OF_HDTXP0_D0CH0,-,-
W6,GND,-,GND,-,-,-,,W6,GND,-,GND,-,-,-,,W6,GND,-,GND,-,-,-
W7,GND,-,GND,-,-,-,,W7,GND,-,GND,-,-,-,,W7,GND,-,GND,-,-,-
W8,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,,W8,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-,,W8,HDTXP0_D0CH1,50,-,True_OF_HDTXN0_D0CH1,-,-
W9,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,,W9,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-,,W9,HDTXN0_D0CH1,50,-,Comp_OF_HDTXP0_D0CH1,-,-
W10,RESERVED,-,-,True_OF_ATSTN_D0,-,-,,W10,RESERVED,-,-,True_OF_ATSTN_D0,-,-,,W10,RESERVED,-,-,True_OF_ATSTN_D0,-,-
W11,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,,W11,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-,,W11,RESERVED,-,-,Comp_OF_ATSTP_D0,-,-
W12,GND,-,GND,-,-,-,,W12,GND,-,GND,-,-,-,,W12,GND,-,GND,-,-,-
W13,NC,-,-,-,-,-,,W13,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-,,W13,HDTXP0_D1CH0,51,-,True_OF_HDTXN0_D1CH0,-,-
W14,NC,-,-,-,-,-,,W14,HDTXN0_D1CH0,51,-,Comp_OF_HDTXP0_D1CH0,-,-,,W14,HDTXN0_D1CH0,51,-,Comp_OF_HDTXP0_D1CH0,-,-
W15,GND,-,GND,-,-,-,,W15,GND,-,GND,-,-,-,,W15,GND,-,GND,-,-,-
W16,GND,-,GND,-,-,-,,W16,GND,-,GND,-,-,-,,W16,GND,-,GND,-,-,-
W17,NC,-,-,-,-,-,,W17,HDTXP0_D1CH1,51,-,True_OF_HDTXN0_D1CH1,-,-,,W17,HDTXP0_D1CH1,51,-,True_OF_HDTXN0_D1CH1,-,-
W18,NC,-,-,-,-,-,,W18,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-,,W18,HDTXN0_D1CH1,51,-,Comp_OF_HDTXP0_D1CH1,-,-
W19,GND,-,GND,-,-,-,,W19,GND,-,GND,-,-,-,,W19,GND,-,GND,-,-,-
W20,NC,-,-,-,-,-,,W20,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-,,W20,REFCLKN_D1,51,-,Comp_OF_REFCLKP_D1,-,-
Y2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,Y2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-,,Y2,PB9B,8,D2/IO2,Comp_OF_PB9A,-,-
Y3,DONE,8,-,-,-,-,,Y3,DONE,8,-,-,-,-,,Y3,DONE,8,-,-,-,-
Y5,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,,Y5,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-,,Y5,HDRXP0_D0CH0,50,-,True_OF_HDRXN0_D0CH0,-,-
Y6,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,,Y6,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-,,Y6,HDRXN0_D0CH0,50,-,Comp_OF_HDRXP0_D0CH0,-,-
Y7,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,,Y7,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-,,Y7,HDRXP0_D0CH1,50,-,True_OF_HDRXN0_D0CH1,-,-
Y8,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,,Y8,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-,,Y8,HDRXN0_D0CH1,50,-,Comp_OF_HDRXP0_D0CH1,-,-
Y11,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,,Y11,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-,,Y11,REFCLKP_D0,50,-,True_OF_REFCLKN_D0,-,-
Y12,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,,Y12,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-,,Y12,REFCLKN_D0,50,-,Comp_OF_REFCLKP_D0,-,-
Y14,NC,-,-,-,-,-,,Y14,HDRXP0_D1CH0,51,-,True_OF_HDRXN0_D1CH0,-,-,,Y14,HDRXP0_D1CH0,51,-,True_OF_HDRXN0_D1CH0,-,-
Y15,NC,-,-,-,-,-,,Y15,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-,,Y15,HDRXN0_D1CH0,51,-,Comp_OF_HDRXP0_D1CH0,-,-
Y16,NC,-,-,-,-,-,,Y16,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-,,Y16,HDRXP0_D1CH1,51,-,True_OF_HDRXN0_D1CH1,-,-
Y17,NC,-,-,-,-,-,,Y17,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-,,Y17,HDRXN0_D1CH1,51,-,Comp_OF_HDRXP0_D1CH1,-,-
Y19,NC,-,-,-,-,-,,Y19,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-,,Y19,REFCLKP_D1,51,-,True_OF_REFCLKN_D1,-,-
